ID,COUNTRY_NAME,ISO2,SITE_NAME,LATITUDE,LONGITUDE,VECTOR_SPECIES_COMPLEX,VECTOR_SPECIES,STAGE,YEAR_START,MONTH_START,YEAR_END,MONTH_END,SAMPLING_METHOD,MOSQUITO_NUMBER,BREEDING_HABITAT,ID_METHOD,CITATION,CITATION_URL,DATA_CURATOR,INVASIVE_STATUS
79,Sudan,SD,Port Sudan,19.610536,37.132241,An. stephensi,Not available,IMMATURE,2016,OCTOBER,2018,JANUARY,Dipping method,36,Construction water tanks,DNA sequencing,"Institute of Endemic Diseases, University of Khartoum, Sudan and Liverpool School of Tropical Medicine, the UK.Unpublished results",,World Health Organization,invasive
81,Sudan,SD,Tokar,18.426009,37.718727,An. stephensi,Not available,IMMATURE,2016,OCTOBER,2018,FEBRUARY,Dipping method,93,Construction water tanks,DNA sequencing,"Institute of Endemic Diseases, University of Khartoum, Sudan and Liverpool School of Tropical Medicine, the UK.Unpublished results",,World Health Organization,invasive
83,Sudan,SD,Abu Alnaja,14.068647,35.337894,An. stephensi,Not available,IMMATURE,2016,SEPTEMBER,2016,DECEMBER,Dipping method,3,Stagnant rain water,DNA sequencing,"Institute of Endemic Diseases, University of Khartoum, Sudan and Liverpool School of Tropical Medicine, the UK.Unpublished results",,World Health Organization,invasive
85,Sudan,SD,Daim Bakur,14.015496,35.397353,An. stephensi,Not available,IMMATURE,2016,SEPTEMBER,2016,DECEMBER,Dipping method,5,Stagnant rain water,DNA sequencing,"Institute of Endemic Diseases, University of Khartoum, Sudan and Liverpool School of Tropical Medicine, the UK.Unpublished results",,World Health Organization,invasive
101,Iran (Islamic Republic of),IR,Bandar Abbas (City),27.187000,56.274000,An. stephensi,Not available,IMMATURE,2002,NR,2002,NR,larval collection,Not available,Not available,morphology,"Vatandoost, H., Shahi, H., Abai, M.R., Hanafi-Bojd, A.A., Oshaghi, M.A. and Zamani, G. (2004).  Larval habitats of main malaria vectors in Hormozgan province and their susceptibility to different larvicides. The Southeast Asian Journal of Tropical Medicine and Public Health, 35 (Suppl 2):22-5",https://www.ncbi.nlm.nih.gov/pubmed/15906629,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",native
155,Iran (Islamic Republic of),IR,Bandar Abbas (City),27.189000,56.273000,An. stephensi,Not available,IMMATURE AND ADULTS,2002,APRIL,2002,APRIL,"animal shed resting, house resting inside, larval collection, man biting indoors",Not available,Not available,morphology,"Vatandoost, H., Oshaghi, M.A., Abaie, M.R., Shahi, M., Yaaghoobi, F., Baghaii, M., Hanafi-Bojd, A.A., Zamani, G. and Townson, H. (2006).  Bionomics of  Anopheles stephensi Liston in the malarious area of Hormozgan province, southern Iran, 2002. Acta Tropica, 97(2):196-203",https://www.ncbi.nlm.nih.gov/pubmed/16329986,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",native
156,Iran (Islamic Republic of),IR,Bandar Abbas (City),27.189000,56.273000,An. stephensi,Not available,IMMATURE AND ADULTS,2002,MAY,2002,MAY,"animal shed resting, house resting inside, larval collection, man biting indoors",Not available,Not available,morphology,"Vatandoost, H., Oshaghi, M.A., Abaie, M.R., Shahi, M., Yaaghoobi, F., Baghaii, M., Hanafi-Bojd, A.A., Zamani, G. and Townson, H. (2006).  Bionomics of  Anopheles stephensi Liston in the malarious area of Hormozgan province, southern Iran, 2002. Acta Tropica, 97(2):196-203",https://www.ncbi.nlm.nih.gov/pubmed/16329986,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",native
157,Iran (Islamic Republic of),IR,Bandar Abbas (City),27.189000,56.273000,An. stephensi,Not available,IMMATURE AND ADULTS,2002,JUNE,2002,JUNE,"animal shed resting, house resting inside, larval collection, man biting indoors",Not available,Not available,morphology,"Vatandoost, H., Oshaghi, M.A., Abaie, M.R., Shahi, M., Yaaghoobi, F., Baghaii, M., Hanafi-Bojd, A.A., Zamani, G. and Townson, H. (2006).  Bionomics of  Anopheles stephensi Liston in the malarious area of Hormozgan province, southern Iran, 2002. Acta Tropica, 97(2):196-203",https://www.ncbi.nlm.nih.gov/pubmed/16329986,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",native
158,Iran (Islamic Republic of),IR,Bandar Abbas (City),27.189000,56.273000,An. stephensi,Not available,IMMATURE AND ADULTS,2002,JULY,2002,JULY,"animal shed resting, house resting inside, larval collection, man biting indoors",Not available,Not available,morphology,"Vatandoost, H., Oshaghi, M.A., Abaie, M.R., Shahi, M., Yaaghoobi, F., Baghaii, M., Hanafi-Bojd, A.A., Zamani, G. and Townson, H. (2006).  Bionomics of  Anopheles stephensi Liston in the malarious area of Hormozgan province, southern Iran, 2002. Acta Tropica, 97(2):196-203",https://www.ncbi.nlm.nih.gov/pubmed/16329986,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",native
159,Iran (Islamic Republic of),IR,Bandar Abbas (City),27.189000,56.273000,An. stephensi,Not available,IMMATURE AND ADULTS,2002,AUGUST,2002,AUGUST,"animal shed resting, house resting inside, larval collection, man biting indoors",Not available,Not available,morphology,"Vatandoost, H., Oshaghi, M.A., Abaie, M.R., Shahi, M., Yaaghoobi, F., Baghaii, M., Hanafi-Bojd, A.A., Zamani, G. and Townson, H. (2006).  Bionomics of  Anopheles stephensi Liston in the malarious area of Hormozgan province, southern Iran, 2002. Acta Tropica, 97(2):196-203",https://www.ncbi.nlm.nih.gov/pubmed/16329986,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",native
